ACCT,DATE,DESCRIPTION,TYPE,AMOUNT,BALANCE
D01141, 12/28/2011, 172945777, CREDIT, -268.00, -268.00
D01141, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -19.00
D01141, 2/1/2012, 178397600, CREDIT, -249.00, -268.00
D01141, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, -19.00
D01141, 2/29/2012, 183163026, CREDIT, -230.00, -249.00
D01141, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 3/29/2012, 188034715, CREDIT, -249.00, -249.00
D01141, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 4/30/2012, 193000419, CREDIT, -249.00, -249.00
D01141, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 5/29/2012, 197866316, CREDIT, -249.00, -249.00
D01141, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 6/28/2012, 202836127, CREDIT, -249.00, -249.00
D01141, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 7/30/2012, 207948220, CREDIT, -249.00, -249.00
D01141, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 8/30/2012, 212543284, CREDIT, -249.00, -249.00
D01141, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 10/1/2012, 217690618, CREDIT, -249.00, -249.00
D01141, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 11/1/2012, 223078442, CREDIT, -249.00, -249.00
D01141, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 11/29/2012, 227509773, CREDIT, -249.00, -249.00
D01141, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01141, 1/3/2013, 232759464, CREDIT, -249.00, 0.00
D01141, 1/31/2013, 237909011, CREDIT, -249.00, -249.00
D01141, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 2/28/2013, 242639250, CREDIT, -249.00, -249.00
D01141, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 4/1/2013, 248020436, CREDIT, -249.00, -249.00
D01141, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01141, 5/2/2013, 253180324, CREDIT, -249.00, 0.00
D01141, 5/31/2013, 258063314, CREDIT, -249.00, -249.00
